# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.807834644767941,4.92378452464499,-0.005374187523954617,0,3.0,-0.015660773319367143,0.0,0.0,0.0
 0.08937870429809348,1.819817473888238,4.923783400688365,-0.005374187523954617,0.26813611289428047,3.0,-0.015660773319367143,0.0,-0.29072056569208665,0.0
 0.12631046578978924,1.831766144894901,4.923780040839417,-0.01611101011682563,0.3789313973693677,2.9999999999999987,-0.015667731449447542,0.0,-0.3787798110837208,0.0
 0.15458824948723945,1.8436809332565882,4.9237744631295355,-0.02682206368361214,0.4637647484617183,2.9999999999999982,-0.01567294875320523,0.0,-0.44913524549232164,0.0
 0.17837689321637792,1.8555621144419583,4.92376668559011,-0.037506382024828124,0.5351306796491336,2.999999999999998,-0.01567639865970626,0.0,-0.5095427775977761,0.0
 0.19929095599805083,1.8674099639196695,4.92375672625253,-0.048162991665456005,0.5978728679941524,3.0000000000000027,-0.015678056349716595,0.0,-0.5632715020586657,0.0
 0.21815915776081898,1.87922475715838,4.923744603148186,-0.05879091201351639,0.6544774732824569,3.0,-0.01567789560001309,0.0,-0.6120830261511689,0.0
 0.23547419997529886,1.8910067696267483,4.923730334308468,-0.06938915545009047,0.7064225999258965,3.0,-0.015675890902334982,0.0,-0.6570577151226543,0.0
 0.251557371704683,1.9027562767934327,4.923713937764764,-0.07995672751852488,0.754672115114049,3.0000000000000018,-0.015672018046188438,0.0,-0.6989146634612948,0.0
 0.26663202962937516,1.9144735541270914,4.923695431548464,-0.09049262698875524,0.7998960888881254,2.9999999999999964,-0.015666250308260018,0.0,-0.7381605530342724,0.0
 0.2808609382591811,1.926158877096383,4.92367483369096,-0.10099584605200694,0.8425828147775433,3.0,-0.015658563923872076,0.0,-0.7751677090639697,0.0
 0.2943670793259041,1.9378125211699655,4.923652162223639,-0.1114653704809934,0.8831012379777122,3.0,-0.015648934844394023,0.0,-0.8102186867690607,0.0
 0.3072460827382153,1.9494347618164978,4.923627435177892,-0.12190017971261043,0.9217382482146458,3.0,-0.015637337024917253,0.0,-0.8435334592328511,0.0
 0.3195740671848622,1.9610258745046376,4.923600670585109,-0.13229924707825927,0.9587222015545864,2.9999999999999956,-0.015623747491703517,0.0,-0.8752868366378017,0.0
 0.33141280669180345,1.9725861347030436,4.923571886476679,-0.14266153993106884,0.9942384200754103,3.0000000000000093,-0.015608142438205663,0.0,-0.9056201120363797,0.0
 0.34281326008661384,1.984115817880374,4.92354110088399,-0.15298601981174256,1.0284397802598415,3.000000000000005,-0.015590498938436292,0.0,-0.9346491080958834,0.0
 0.3538180561169388,1.995615199505287,4.923508331838436,-0.1632716426062629,1.0614541683508163,2.999999999999995,-0.01557079204695805,0.0,-0.9624699075648259,0.0
 0.3644632888586845,2.0070845550464416,4.923473597371403,-0.17351735877921695,1.0933898665760535,3.0000000000000053,-0.015548999457591287,0.0,-0.9891630134756128,0.0
 0.37477984393138314,2.018524159972495,4.923436915514283,-0.18372211348361464,1.1243395317941494,2.9999999999999947,-0.015525098630584802,0.0,-1.0147964644611145,0.0
 0.38479439725159487,2.0299342897521067,4.9233983042984635,-0.1938848467861228,1.1543831917547844,2.999999999999989,-0.015499067992234486,0.0,-1.0394281844027018,0.0
 0.3945301800686517,2.0413152198539346,4.923357781755336,-0.20400449384339522,1.1835905402059548,2.9999999999999827,-0.015470885759299918,0.0,-1.0631077997827945,0.0
 0.4040075738659541,2.0526672257466365,4.923315365916291,-0.21407998511092047,1.2120227215978618,2.9999999999999885,-0.01544052931185039,0.0,-1.0858780567054334,0.0
 0.41324457922268804,2.063990582898872,4.923271074812715,-0.22411024653746842,1.2397337376680637,3.000000000000006,-0.015407978887965235,0.0,-1.107775941920719,0.0
 0.42225718982663246,2.0752855667792978,4.923224926476,-0.2340941997384176,1.266771569479897,3.0000000000000124,-0.015373213320943461,0.0,-1.1288335933485592,0.0
 0.4310596940955982,2.0865524528565733,4.9231769389375355,-0.24403076226282022,1.2931790822867943,3.000000000000006,-0.015336212508026987,0.0,-1.1490790180487354,0.0
 0.43966492083765646,2.097791516599357,4.9231271302287105,-0.25391884775767126,1.3189947625129692,3.0000000000000067,-0.015296957461264672,0.0,-1.168536696402191,0.0
 0.44808444114609536,2.1090030334763066,4.923075518380916,-0.2637573662041856,1.344253323438286,3.00000000000002,-0.01525542776953238,0.0,-1.187228074869628,0.0
 0.4563287357022581,2.120187278956081,4.923022121425539,-0.2735452241587569,1.3689862071067744,3.0000000000000067,-0.01521160544925248,0.0,-1.2051719670092966,0.0
 0.46440733446960386,2.131344528507338,4.922966957393974,-0.2832813249258778,1.3932220034088116,3.0,-0.015165472420675334,0.0,-1.2223849147335877,0.0
 0.4723289341545257,2.142475057598736,4.922910044317605,-0.29296456888128464,1.4169868024635772,3.000000000000007,-0.015117011166348199,0.0,-1.2388814519142282,0.0
 0.4801014976142701,2.1535791416989336,4.922851400227826,-0.30259385358538826,1.4403044928428104,2.999999999999986,-0.015066204755471475,0.0,-1.2546743834262668,0.0
 0.4877323384937065,2.164657056276589,4.922791043156024,-0.31216807416081904,1.4631970154811196,3.000000000000007,-0.015013036186913367,0.0,-1.2697749623306356,0.0
 0.4952281936898858,2.175709076800361,4.922728991133591,-0.32168612341018354,1.4856845810696575,3.0000000000000075,-0.014957489068535808,0.0,-1.284193103124154,0.0
